timestamp_ms,mPWM,sPWM,mESC,sESC,mRPM,sRPM,mHz,sHz
348641,0,0,1500,1500,0,0,0.0,0.0
348656,0,0,1500,1500,0,0,0.0,0.0
348672,0,0,1500,1500,0,0,0.0,0.0
348687,0,0,1500,1500,0,0,0.0,0.0
348702,0,0,1500,1500,0,0,0.0,0.0
348717,0,0,1500,1500,0,0,0.0,0.0
348732,0,0,1500,1500,0,0,0.0,0.0
348747,0,0,1500,1500,0,0,0.0,0.0
348762,0,0,1500,1500,0,0,0.0,0.0
348777,0,0,1500,1500,0,0,0.0,0.0
348792,0,0,1500,1500,0,0,0.0,0.0
348807,0,0,1500,1500,0,0,0.0,0.0
348822,0,0,1500,1500,0,0,0.0,0.0
348837,0,0,1500,1500,0,0,0.0,0.0
348852,0,0,1500,1500,0,0,0.0,0.0
348867,0,0,1500,1500,0,0,0.0,0.0
348882,0,0,1500,1500,0,0,0.0,0.0
348897,0,0,1500,1500,0,0,0.0,0.0
348912,0,0,1500,1500,0,0,0.0,0.0
348928,0,0,1500,1500,0,0,0.0,0.0
348943,0,0,1500,1500,0,0,0.0,0.0
348958,0,0,1500,1500,0,0,0.0,0.0
348973,0,0,1500,1500,0,0,0.0,0.0
348988,0,0,1500,1500,0,0,0.0,0.0
349003,0,0,1500,1500,0,0,0.0,0.0
349018,0,0,1500,1500,0,0,0.0,0.0
349033,0,0,1500,1500,0,0,0.0,0.0
349048,0,0,1500,1500,0,0,0.0,0.0
349063,0,0,1500,1500,0,0,0.0,0.0
349078,0,0,1500,1500,0,0,0.0,0.0
349093,0,0,1500,1500,0,0,0.0,0.0
349108,0,0,1500,1500,0,0,0.0,0.0
349123,0,0,1500,1500,0,0,0.0,0.0
349138,0,0,1500,1500,0,0,0.0,0.0
349153,0,0,1500,1500,0,0,0.0,0.0
349168,0,0,1500,1500,0,0,0.0,0.0
349184,0,0,1500,1500,0,0,0.0,0.0
349199,0,0,1500,1500,0,0,0.0,0.0
349214,0,0,1500,1500,0,0,0.0,0.0
349229,0,0,1500,1500,0,0,0.0,0.0
349244,0,0,1500,1500,0,0,0.0,0.0
349259,0,0,1500,1500,0,0,0.0,0.0
349274,0,0,1500,1500,0,0,0.0,0.0
349289,0,0,1500,1500,0,0,0.0,0.0
349304,0,0,1500,1500,0,0,0.0,0.0
349319,0,0,1500,1500,0,0,0.0,0.0
349334,0,0,1500,1500,0,0,0.0,0.0
349349,0,0,1500,1500,0,0,0.0,0.0
349364,0,0,1500,1500,0,0,0.0,0.0
349379,0,0,1500,1500,0,0,0.0,0.0
349394,0,0,1500,1500,0,0,0.0,0.0
349409,0,0,1500,1500,0,0,0.0,0.0
349424,0,0,1500,1500,0,0,0.0,0.0
349440,0,0,1500,1500,0,0,0.0,0.0
349455,0,0,1500,1500,0,0,0.0,0.0
349470,0,0,1500,1500,0,0,0.0,0.0
349485,0,0,1500,1500,0,0,0.0,0.0
349500,0,0,1500,1500,0,0,0.0,0.0
349515,0,0,1500,1500,0,0,0.0,0.0
349530,0,0,1500,1500,0,0,0.0,0.0
349545,0,0,1500,1500,0,0,0.0,0.0
349560,0,0,1500,1500,0,0,0.0,0.0
349575,0,0,1500,1500,0,0,0.0,0.0
349590,0,0,1500,1500,0,0,0.0,0.0
349605,0,0,1500,1500,0,0,0.0,0.0
349620,0,0,1500,1500,0,0,0.0,0.0
349635,0,0,1500,1500,0,0,0.0,0.0
349650,0,0,1500,1500,0,0,0.0,0.0
349665,0,0,1500,1500,0,0,0.0,0.0
349680,0,0,1500,1500,0,0,0.0,0.0
349696,0,0,1500,1500,0,0,0.0,0.0
349711,0,0,1500,1500,0,0,0.0,0.0
349726,0,0,1500,1500,0,0,0.0,0.0
349741,0,0,1500,1500,0,0,0.0,0.0
349756,0,0,1500,1500,0,0,0.0,0.0
349771,0,0,1500,1500,0,0,0.0,0.0
349786,0,0,1500,1500,0,0,0.0,0.0
349801,0,0,1500,1500,0,0,0.0,0.0
349816,0,0,1500,1500,0,0,0.0,0.0
349831,0,0,1500,1500,0,0,0.0,0.0
349846,0,0,1500,1500,0,0,0.0,0.0
349861,0,0,1500,1500,0,0,0.0,0.0
349876,0,0,1500,1500,0,0,0.0,0.0
349891,210,0,1500,1500,-7,0,0.0,0.0
349906,210,210,1500,1500,-16,-2,0.0,0.0
349921,210,210,1500,1500,-23,-20,0.0,0.0
349936,210,210,1500,1500,-29,-20,0.0,0.0
349952,210,210,1500,1500,-32,-29,0.0,0.0
349967,210,210,1500,1500,-26,-30,0.0,0.0
349982,210,210,1500,1500,-23,-30,0.0,0.0
349997,210,210,1500,1500,-26,-30,0.0,0.0
350012,210,210,1500,1500,-28,-26,0.0,0.0
350027,210,210,1500,1500,-29,-32,0.0,0.0
350042,210,210,1500,1500,-28,-32,0.0,0.0
350057,210,210,1500,1500,-33,-29,0.0,0.0
350072,210,210,1500,1500,-33,-33,0.0,0.0
350087,210,210,1500,1500,-33,-33,0.0,0.0
350102,210,210,1500,1500,-33,-32,0.0,0.0
350117,210,210,1500,1500,-35,-36,0.0,0.0
350132,210,210,1500,1500,-32,-39,0.0,0.0
350147,210,210,1500,1500,-39,-35,0.0,0.0
350162,210,210,1500,1500,-42,-41,0.0,0.0
350177,210,210,1500,1500,-36,-41,0.0,0.0
350192,210,210,1500,1500,-39,-42,0.0,0.0
350208,210,210,1500,1500,-39,-39,0.0,0.0
350223,210,210,1500,1500,-38,-36,0.0,0.0
350238,210,210,1500,1500,-38,-41,0.0,0.0
350253,210,210,1500,1500,-36,-41,0.0,0.0
350268,210,210,1500,1500,-33,-41,0.0,0.0
350283,210,210,1500,1500,-36,-42,0.0,0.0
350298,210,210,1500,1500,-39,-42,0.0,0.0
350313,210,210,1500,1500,-38,-38,0.0,0.0
350328,210,210,1500,1500,-38,-42,0.0,0.0
350343,210,210,1500,1500,-35,-41,0.0,0.0
350358,210,210,1500,1500,-39,-38,0.0,0.0
350373,210,210,1500,1500,-39,-41,0.0,0.0
350388,210,210,1500,1500,-36,-44,0.0,0.0
350403,210,210,1500,1500,-42,-44,0.0,0.0
350418,210,210,1500,1500,-39,-42,0.0,0.0
350433,210,210,1500,1500,-36,-42,0.0,0.0
350448,210,210,1500,1500,-38,-41,0.0,0.0
350464,210,210,1500,1500,-38,-42,0.0,0.0
350479,210,210,1500,1500,-35,-42,0.0,0.0
350494,210,210,1500,1500,-38,-44,0.0,0.0
350509,210,210,1500,1500,-39,-41,0.0,0.0
350524,210,210,1500,1500,-38,-38,0.0,0.0
350539,210,210,1500,1500,-36,-42,0.0,0.0
350554,210,210,1500,1500,-33,-41,0.0,0.0
350569,210,210,1500,1500,-36,-37,0.0,0.0
350584,210,210,1500,1500,-36,-41,0.0,0.0
350599,210,210,1500,1500,-38,-41,0.0,0.0
350614,210,210,1500,1500,-38,-36,0.0,0.0
350629,210,210,1500,1500,-38,-41,0.0,0.0
350644,210,210,1500,1500,-35,-41,0.0,0.0
350659,210,210,1500,1500,-38,-35,0.0,0.0
350674,210,210,1500,1500,-38,-41,0.0,0.0
350689,210,210,1500,1500,-35,-42,0.0,0.0
350704,210,210,1500,1500,-39,-41,0.0,0.0
350720,210,210,1500,1500,-38,-44,0.0,0.0
350735,210,210,1500,1500,-38,-38,0.0,0.0
350750,210,210,1500,1500,-39,-41,0.0,0.0
350765,210,210,1500,1500,-39,-42,0.0,0.0
350780,210,210,1500,1500,-39,-41,0.0,0.0
350795,210,210,1500,1500,-39,-41,0.0,0.0
350810,210,210,1500,1500,-35,-42,0.0,0.0
350825,210,210,1500,1500,-39,-36,0.0,0.0
350840,210,210,1500,1500,-38,-42,0.0,0.0
350855,210,210,1500,1500,-33,-41,0.0,0.0
350870,210,210,1500,1500,-38,-38,0.0,0.0
350885,210,210,1500,1500,-36,-41,0.0,0.0
350900,210,210,1500,1500,-33,-42,0.0,0.0
350915,210,210,1500,1500,-38,-41,0.0,0.0
350930,210,210,1500,1500,-38,-44,0.0,0.0
350945,210,210,1500,1500,-33,-41,0.0,0.0
350960,210,210,1500,1500,-38,-36,0.0,0.0
350976,210,210,1500,1500,-38,-39,0.0,0.0
350991,210,210,1500,1500,-33,-41,0.0,0.0
351006,210,210,1500,1500,-38,-41,0.0,0.0
351021,210,210,1500,1500,-33,-39,0.0,0.0
351036,210,210,1500,1500,-39,-38,0.0,0.0
351051,210,210,1500,1500,-38,-39,0.0,0.0
351066,210,210,1500,1500,-36,-41,0.0,0.0
351081,210,210,1500,1500,-38,-37,0.0,0.0
351096,210,210,1500,1500,-38,-41,0.0,0.0
351111,210,210,1500,1500,-38,-41,0.0,0.0
351126,210,210,1500,1500,-38,-35,0.0,0.0
351141,210,210,1500,1500,-35,-41,0.0,0.0
351156,210,210,1500,1500,-33,-41,0.0,0.0
351171,210,210,1500,1500,-38,-38,0.0,0.0
351186,210,210,1500,1500,-39,-41,0.0,0.0
351201,210,210,1500,1500,-36,-42,0.0,0.0
351216,210,210,1500,1500,-39,-41,0.0,0.0
351232,210,210,1500,1500,-41,-42,0.0,0.0
351247,210,210,1500,1500,-39,-35,0.0,0.0
351262,210,210,1500,1500,-38,-41,0.0,0.0
351277,210,210,1500,1500,-38,-41,0.0,0.0
351292,210,210,1500,1500,-35,-41,0.0,0.0
351307,210,210,1500,1500,-38,-39,0.0,0.0
351322,210,210,1500,1500,-33,-39,0.0,0.0
351337,210,210,1500,1500,-36,-36,0.0,0.0
351352,210,210,1500,1500,-35,-42,0.0,0.0
351367,210,210,1500,1500,-30,-39,0.0,0.0
351382,210,210,1500,1500,-35,-35,0.0,0.0
351397,210,210,1500,1500,-35,-39,0.0,0.0
351412,210,210,1500,1500,-32,-41,0.0,0.0
351427,210,210,1500,1500,-35,-42,0.0,0.0
351442,210,210,1500,1500,-38,-42,0.0,0.0
351457,210,210,1500,1500,-35,-41,0.0,0.0
351472,210,210,1500,1500,-36,-38,0.0,0.0
351488,210,210,1500,1500,-39,-42,0.0,0.0
351503,210,210,1500,1500,-35,-42,0.0,0.0
351518,210,210,1500,1500,-39,-41,0.0,0.0
351533,210,210,1500,1500,-35,-42,0.0,0.0
351548,210,210,1500,1500,-41,-38,0.0,0.0
351563,210,210,1500,1500,-41,-41,0.0,0.0
351578,210,210,1500,1500,-36,-41,0.0,0.0
351593,210,210,1500,1500,-39,-40,0.0,0.0
351608,210,210,1500,1500,-39,-42,0.0,0.0
351623,210,210,1500,1500,-36,-42,0.0,0.0
351638,210,210,1500,1500,-38,-38,0.0,0.0
351653,210,210,1500,1500,-38,-41,0.0,0.0
351668,210,210,1500,1500,-35,-42,0.0,0.0
351683,210,210,1500,1500,-39,-38,0.0,0.0
351698,210,210,1500,1500,-39,-41,0.0,0.0
351713,210,210,1500,1500,-36,-42,0.0,0.0
351728,210,210,1500,1500,-38,-42,0.0,0.0
351744,210,210,1500,1500,-39,-39,0.0,0.0
351759,210,210,1500,1500,-38,-36,0.0,0.0
351774,210,210,1500,1500,-38,-41,0.0,0.0
351789,210,210,1500,1500,-39,-41,0.0,0.0
351804,210,210,1500,1500,-33,-41,0.0,0.0
351819,210,210,1500,1500,-36,-41,0.0,0.0
351834,210,210,1500,1500,-36,-42,0.0,0.0
351849,210,210,1500,1500,-36,-38,0.0,0.0
351864,210,210,1500,1500,-38,-41,0.0,0.0
351879,210,210,1500,1500,-35,-42,0.0,0.0
351894,210,210,1500,1500,-38,-38,0.0,0.0
351909,210,210,1500,1500,-38,-42,0.0,0.0
351924,210,210,1500,1500,-36,-42,0.0,0.0
351939,210,210,1500,1500,-38,-44,0.0,0.0
351954,210,210,1500,1500,-41,-44,0.0,0.0
351969,210,210,1500,1500,-35,-42,0.0,0.0
351984,210,210,1500,1500,-39,-39,0.0,0.0
352000,210,210,1500,1500,-39,-44,0.0,0.0
352015,210,210,1500,1500,-35,-42,0.0,0.0
352030,210,210,1500,1500,-39,-42,0.0,0.0
352045,210,210,1500,1500,-39,-41,0.0,0.0
352060,210,210,1500,1500,-38,-38,0.0,0.0
352075,210,210,1500,1500,-39,-42,0.0,0.0
352090,210,210,1500,1500,-36,-42,0.0,0.0
352105,210,210,1500,1500,-39,-38,0.0,0.0
352120,210,210,1500,1500,-38,-42,0.0,0.0
352135,210,210,1500,1500,-39,-41,0.0,0.0
352150,210,210,1500,1500,-38,-36,0.0,0.0
352165,210,210,1500,1500,-39,-41,0.0,0.0
352180,210,210,1500,1500,-36,-41,0.0,0.0
352195,210,210,1500,1500,-38,-36,0.0,0.0
352210,210,210,1500,1500,-39,-41,0.0,0.0
352225,210,210,1500,1500,-36,-41,0.0,0.0
352240,210,210,1500,1500,-39,-41,0.0,0.0
352256,210,210,1500,1500,-41,-39,0.0,0.0
352271,210,210,1500,1500,-38,-36,0.0,0.0
352286,210,210,1500,1500,-38,-39,0.0,0.0
352301,210,210,1500,1500,-39,-41,0.0,0.0
352316,210,210,1500,1500,-33,-41,0.0,0.0
352331,210,210,1500,1500,-38,-42,0.0,0.0
352346,210,210,1500,1500,-35,-41,0.0,0.0
352361,210,210,1500,1500,-38,-35,0.0,0.0
352376,210,210,1500,1500,-36,-42,0.0,0.0
352391,210,210,1500,1500,-30,-41,0.0,0.0
352406,210,210,1500,1500,-38,-38,0.0,0.0
352421,210,210,1500,1500,-35,-41,0.0,0.0
352436,210,210,1500,1500,-33,-41,0.0,0.0
352451,210,210,1500,1500,-36,-41,0.0,0.0
352466,210,210,1500,1500,-38,-39,0.0,0.0
352481,210,210,1500,1500,-33,-41,0.0,0.0
352496,210,210,1500,1500,-39,-38,0.0,0.0
352512,210,210,1500,1500,-38,-41,0.0,0.0
352527,210,210,1500,1500,-33,-41,0.0,0.0
352542,210,210,1500,1500,-38,-41,0.0,0.0
352557,210,210,1500,1500,-38,-41,0.0,0.0
352572,210,210,1500,1500,-36,-36,0.0,0.0
352587,210,210,1500,1500,-38,-42,0.0,0.0
352602,210,210,1500,1500,-34,-41,0.0,0.0
352617,210,210,1500,1500,-36,-37,0.0,0.0
352632,210,210,1500,1500,-38,-42,0.0,0.0
352647,210,210,1500,1500,-36,-42,0.0,0.0
352662,210,210,1500,1500,-38,-38,0.0,0.0
352677,210,210,1500,1500,-36,-41,0.0,0.0
352692,210,210,1500,1500,-35,-44,0.0,0.0
352707,210,210,1500,1500,-39,-38,0.0,0.0
352722,210,210,1500,1500,-38,-44,0.0,0.0
352737,210,210,1500,1500,-36,-41,0.0,0.0
352752,210,210,1500,1500,-41,-44,0.0,0.0
352768,210,210,1500,1500,-36,-41,0.0,0.0
352783,210,210,1500,1500,-39,-38,0.0,0.0
352798,210,210,1500,1500,-41,-42,0.0,0.0
352813,210,210,1500,1500,-41,-41,0.0,0.0
352828,210,210,1500,1500,-35,-42,0.0,0.0
352843,210,210,1500,1500,-38,-41,0.0,0.0
352858,210,210,1500,1500,-39,-42,0.0,0.0
352873,210,210,1500,1500,-38,-38,0.0,0.0
352888,210,210,1500,1500,-38,-41,0.0,0.0
352903,210,210,1500,1500,-32,-41,0.0,0.0
352918,210,210,1500,1500,-35,-36,0.0,0.0
352933,210,210,1500,1500,-35,-41,0.0,0.0
352948,210,210,1500,1500,-33,-41,0.0,0.0
352963,210,210,1500,1500,-36,-38,0.0,0.0
352978,210,210,1500,1500,-39,-42,0.0,0.0
352993,210,210,1500,1500,-33,-38,0.0,0.0
353008,210,210,1500,1500,-38,-38,0.0,0.0
353024,210,210,1500,1500,-38,-41,0.0,0.0
353039,210,210,1500,1500,-38,-42,0.0,0.0
353054,210,210,1500,1500,-38,-42,0.0,0.0
353069,210,210,1500,1500,-35,-41,0.0,0.0
353084,210,210,1500,1500,-38,-38,0.0,0.0
353099,210,210,1500,1500,-38,-41,0.0,0.0
353114,210,210,1500,1500,-33,-44,0.0,0.0
353129,210,210,1500,1500,-38,-37,0.0,0.0
353144,210,210,1500,1500,-38,-42,0.0,0.0
353159,210,210,1500,1500,-38,-44,0.0,0.0
353174,210,210,1500,1500,-39,-38,0.0,0.0
353189,210,210,1500,1500,-39,-41,0.0,0.0
353204,210,210,1500,1500,-35,-41,0.0,0.0
353219,210,210,1500,1500,-39,-36,0.0,0.0
353234,210,210,1500,1500,-41,-41,0.0,0.0
353249,210,210,1500,1500,-36,-41,0.0,0.0
353264,210,210,1500,1500,-39,-41,0.0,0.0
353280,210,210,1500,1500,-35,-42,0.0,0.0
353295,210,210,1500,1500,-39,-38,0.0,0.0
353310,210,210,1500,1500,-39,-41,0.0,0.0
353325,210,210,1500,1500,-38,-41,0.0,0.0
353340,210,210,1500,1500,-39,-41,0.0,0.0
353355,210,210,1500,1500,-39,-41,0.0,0.0
353370,210,210,1500,1500,-39,-39,0.0,0.0
353385,210,210,1500,1500,-38,-38,0.0,0.0
353400,210,210,1500,1500,-39,-38,0.0,0.0
353415,210,210,1500,1500,-36,-39,0.0,0.0
353430,210,210,1500,1500,-38,-36,0.0,0.0
353445,210,210,1500,1500,-39,-41,0.0,0.0
353460,210,210,1500,1500,-36,-41,0.0,0.0
353475,210,210,1500,1500,-39,-41,0.0,0.0
353490,210,210,1500,1500,-39,-39,0.0,0.0
353505,210,210,1500,1500,-33,-39,0.0,0.0
353520,210,210,1500,1500,-39,-36,0.0,0.0
353536,210,210,1500,1500,-39,-41,0.0,0.0
353551,210,210,1500,1500,-35,-41,0.0,0.0
353566,210,210,1500,1500,-38,-41,0.0,0.0
353581,210,210,1500,1500,-38,-41,0.0,0.0
353596,210,210,1500,1500,-36,-38,0.0,0.0
353611,210,210,1500,1500,-36,-41,0.0,0.0
353626,210,210,1500,1500,-32,-41,0.0,0.0
353641,210,210,1500,1500,-36,-34,0.0,0.0
353656,210,210,1500,1500,-38,-38,0.0,0.0
353671,210,210,1500,1500,-38,-41,0.0,0.0
353686,210,210,1500,1500,-36,-35,0.0,0.0
353701,210,210,1500,1500,-38,-39,0.0,0.0
353716,210,210,1500,1500,-33,-39,0.0,0.0
353731,210,210,1500,1500,-38,-35,0.0,0.0
353746,210,210,1500,1500,-39,-39,0.0,0.0
353761,210,210,1500,1500,-33,-38,0.0,0.0
353776,210,210,1500,1500,-38,-41,0.0,0.0
353792,210,210,1500,1500,-38,-38,0.0,0.0
353807,210,210,1500,1500,-38,-36,0.0,0.0
353822,210,210,1500,1500,-41,-39,0.0,0.0
353837,210,210,1500,1500,-39,-39,0.0,0.0
353852,210,210,1500,1500,-35,-39,0.0,0.0
353867,210,210,1500,1500,-39,-39,0.0,0.0
353882,210,210,1500,1500,-38,-39,0.0,0.0
353897,210,210,1500,1500,-36,-35,0.0,0.0
353912,210,210,1500,1500,-39,-41,0.0,0.0
353927,210,210,1500,1500,-33,-39,0.0,0.0
353942,210,210,1500,1500,-38,-36,0.0,0.0
353957,210,210,1500,1500,-39,-39,0.0,0.0
353972,210,210,1500,1500,-34,-41,0.0,0.0
353987,210,210,1500,1500,-39,-39,0.0,0.0
354002,210,210,1500,1500,-38,-41,0.0,0.0
354017,210,210,1500,1500,-33,-41,0.0,0.0
354032,210,210,1500,1500,-39,-35,0.0,0.0
354048,210,210,1500,1500,-38,-41,0.0,0.0
354063,210,210,1500,1500,-39,-41,0.0,0.0
354078,210,210,1500,1500,-39,-39,0.0,0.0
354093,210,210,1500,1500,-35,-39,0.0,0.0
354108,210,210,1500,1500,-38,-36,0.0,0.0
354123,210,210,1500,1500,-38,-39,0.0,0.0
354138,210,210,1500,1500,-33,-41,0.0,0.0
354153,210,210,1500,1500,-38,-36,0.0,0.0
354168,210,210,1500,1500,-36,-41,0.0,0.0
354183,210,210,1500,1500,-38,-39,0.0,0.0
354198,210,210,1500,1500,-38,-35,0.0,0.0
354213,210,210,1500,1500,-38,-39,0.0,0.0
354228,210,210,1500,1500,-32,-38,0.0,0.0
354243,210,210,1500,1500,-36,-36,0.0,0.0
354258,210,210,1500,1500,-39,-38,0.0,0.0
354273,210,210,1500,1500,-35,-41,0.0,0.0
354288,210,210,1500,1500,-39,-41,0.0,0.0
354304,210,210,1500,1500,-35,-41,0.0,0.0
354319,210,210,1500,1500,-39,-36,0.0,0.0
354334,210,210,1500,1500,-39,-39,0.0,0.0
354349,210,210,1500,1500,-39,-38,0.0,0.0
354364,210,210,1500,1500,-41,-39,0.0,0.0
354379,210,210,1500,1500,-38,-39,0.0,0.0
354394,210,210,1500,1500,-35,-41,0.0,0.0
354409,210,210,1500,1500,-39,-35,0.0,0.0
354424,210,210,1500,1500,-38,-41,0.0,0.0
354439,210,210,1500,1500,-35,-38,0.0,0.0
354454,210,210,1500,1500,-38,-35,0.0,0.0
354469,210,210,1500,1500,-38,-38,0.0,0.0
354484,210,210,1500,1500,-36,-39,0.0,0.0
354499,210,210,1500,1500,-38,-41,0.0,0.0
354514,210,210,1500,1500,-41,-39,0.0,0.0
354529,210,210,1500,1500,-35,-39,0.0,0.0
354544,210,210,1500,1500,-38,-36,0.0,0.0
354560,210,210,1500,1500,-38,-41,0.0,0.0
354575,210,210,1500,1500,-33,-39,0.0,0.0
354590,210,210,1500,1500,-36,-41,0.0,0.0
354605,210,210,1500,1500,-38,-39,0.0,0.0
354620,210,210,1500,1500,-38,-36,0.0,0.0
354635,210,210,1500,1500,-38,-39,0.0,0.0
354650,210,210,1500,1500,-34,-41,0.0,0.0
354665,210,210,1500,1500,-38,-34,0.0,0.0
354680,210,210,1500,1500,-38,-39,0.0,0.0
354695,210,210,1500,1500,-38,-39,0.0,0.0
354710,210,210,1500,1500,-39,-35,0.0,0.0
354725,210,210,1500,1500,-36,-39,0.0,0.0
354740,210,210,1500,1500,-33,-39,0.0,0.0
354755,210,210,1500,1500,-39,-35,0.0,0.0
354770,210,210,1500,1500,-38,-39,0.0,0.0
354785,210,210,1500,1500,-35,-38,0.0,0.0
354800,210,210,1500,1500,-39,-38,0.0,0.0
354816,210,210,1500,1500,-33,-39,0.0,0.0
354831,210,210,1500,1500,-36,-33,0.0,0.0
354846,210,210,1500,1500,-38,-39,0.0,0.0
354861,210,210,1500,1500,-35,-36,0.0,0.0
354876,210,210,1500,1500,-35,-38,0.0,0.0
354891,210,210,1500,1500,-36,-38,0.0,0.0
354906,210,210,1500,1500,-36,-38,0.0,0.0
354921,210,210,1500,1500,-36,-35,0.0,0.0
354936,210,210,1500,1500,-36,-38,0.0,0.0
354951,210,210,1500,1500,-33,-39,0.0,0.0
354966,210,210,1500,1500,-38,-33,0.0,0.0
354981,210,210,1500,1500,-38,-38,0.0,0.0
354996,210,210,1500,1500,-36,-38,0.0,0.0
355011,210,210,1500,1500,-36,-38,0.0,0.0
355026,210,210,1500,1500,-38,-38,0.0,0.0
355041,210,210,1500,1500,-33,-38,0.0,0.0
355056,210,210,1500,1500,-38,-35,0.0,0.0
355072,210,210,1500,1500,-38,-38,0.0,0.0
355087,210,210,1500,1500,-33,-38,0.0,0.0
355102,210,210,1500,1500,-36,-38,0.0,0.0
355117,210,210,1500,1500,-38,-38,0.0,0.0
355132,210,210,1500,1500,-36,-33,0.0,0.0
355147,210,210,1500,1500,-36,-38,0.0,0.0
355162,210,210,1500,1500,-33,-35,0.0,0.0
355177,210,210,1500,1500,-36,-34,0.0,0.0
355192,210,210,1500,1500,-36,-38,0.0,0.0
355207,210,210,1500,1500,-36,-38,0.0,0.0
355222,210,210,1500,1500,-36,-36,0.0,0.0
355237,210,210,1500,1500,-36,-38,0.0,0.0
355252,210,210,1500,1500,-32,-38,0.0,0.0
355267,210,210,1500,1500,-36,-35,0.0,0.0
355282,210,210,1500,1500,-36,-39,0.0,0.0
355297,210,210,1500,1500,-33,-39,0.0,0.0
355312,210,210,1500,1500,-38,-38,0.0,0.0
355328,210,210,1500,1500,-33,-41,0.0,0.0
355343,210,210,1500,1500,-38,-35,0.0,0.0
355358,210,210,1500,1500,-36,-38,0.0,0.0
355373,210,210,1500,1500,-35,-39,0.0,0.0
355388,210,210,1500,1500,-35,-38,0.0,0.0
355403,210,210,1500,1500,-33,-38,0.0,0.0
355418,210,210,1500,1500,-29,-39,0.0,0.0
355433,210,210,1500,1500,-32,-33,0.0,0.0
355448,210,210,1500,1500,-33,-36,0.0,0.0
355463,210,210,1500,1500,-29,-32,0.0,0.0
355478,210,210,1500,1500,-32,-29,0.0,0.0
355493,210,210,1500,1500,-30,-29,0.0,0.0
355508,210,210,1500,1500,-29,-29,0.0,0.0
355523,210,210,1500,1500,-30,-28,0.0,0.0
355538,210,210,1500,1500,-28,-26,0.0,0.0
355553,210,210,1500,1500,-25,-22,0.0,0.0
355568,210,210,1500,1500,-29,-20,0.0,0.0
355584,210,210,1500,1500,-29,-22,0.0,0.0
