timestamp_ms,mPWM,sPWM,mESC,sESC,mRPM,sRPM,mHz,sHz
491841,0,0,1500,1500,0,0,0.0,0.0
491851,0,0,1500,1500,0,0,0.0,0.0
491862,0,0,1500,1500,0,0,0.0,0.0
491872,0,0,1500,1500,0,0,0.0,0.0
491882,0,0,1500,1500,0,0,0.0,0.0
491892,0,0,1500,1500,0,0,0.0,0.0
491902,0,0,1500,1500,0,0,0.0,0.0
491912,0,0,1500,1500,0,0,0.0,0.0
491922,0,0,1500,1500,0,0,0.0,0.0
491932,0,0,1500,1500,0,0,0.0,0.0
491942,0,0,1500,1500,0,0,0.0,0.0
491952,0,0,1500,1500,0,0,0.0,0.0
491962,0,0,1500,1500,0,0,0.0,0.0
491972,0,0,1500,1500,0,0,0.0,0.0
491982,0,0,1500,1500,0,0,0.0,0.0
491992,0,0,1500,1500,0,0,0.0,0.0
492002,0,0,1500,1500,0,0,0.0,0.0
492012,0,0,1500,1500,0,0,0.0,0.0
492022,0,0,1500,1500,0,0,0.0,0.0
492032,0,0,1500,1500,0,0,0.0,0.0
492042,0,0,1500,1500,0,0,0.0,0.0
492052,0,0,1500,1500,0,0,0.0,0.0
492062,0,0,1500,1500,0,0,0.0,0.0
492072,0,0,1500,1500,0,0,0.0,0.0
492082,0,0,1500,1500,0,0,0.0,0.0
492092,0,0,1500,1500,0,0,0.0,0.0
492102,0,0,1500,1500,0,0,0.0,0.0
492112,0,0,1500,1500,0,0,0.0,0.0
492122,0,0,1500,1500,0,0,0.0,0.0
492132,0,0,1500,1500,0,0,0.0,0.0
492142,0,0,1500,1500,0,0,0.0,0.0
492152,0,0,1500,1500,0,0,0.0,0.0
492162,0,0,1500,1500,0,0,0.0,0.0
492172,0,0,1500,1500,0,0,0.0,0.0
492182,0,0,1500,1500,0,0,0.0,0.0
492192,0,0,1500,1500,0,0,0.0,0.0
492203,0,0,1500,1500,0,0,0.0,0.0
492213,0,0,1500,1500,0,0,0.0,0.0
492223,0,0,1500,1500,0,0,0.0,0.0
492233,0,0,1500,1500,0,0,0.0,0.0
492243,0,0,1500,1500,0,0,0.0,0.0
492253,0,0,1500,1500,0,0,0.0,0.0
492263,0,0,1500,1500,0,0,0.0,0.0
492273,0,0,1500,1500,0,0,0.0,0.0
492283,0,0,1500,1500,0,0,0.0,0.0
492293,0,0,1500,1500,0,0,0.0,0.0
492303,0,0,1500,1500,0,0,0.0,0.0
492313,0,0,1500,1500,0,0,0.0,0.0
492323,0,0,1500,1500,0,0,0.0,0.0
492333,0,0,1500,1500,0,0,0.0,0.0
492343,0,0,1500,1500,0,0,0.0,0.0
492353,0,0,1500,1500,0,0,0.0,0.0
492363,0,0,1500,1500,0,0,0.0,0.0
492374,0,0,1500,1500,0,0,0.0,0.0
492384,0,0,1500,1500,0,0,0.0,0.0
492394,0,0,1500,1500,0,0,0.0,0.0
492404,0,0,1500,1500,0,0,0.0,0.0
492414,0,0,1500,1500,0,0,0.0,0.0
492424,0,0,1500,1500,0,0,0.0,0.0
492434,0,0,1500,1500,0,0,0.0,0.0
492444,0,0,1500,1500,0,0,0.0,0.0
492454,0,0,1500,1500,0,0,0.0,0.0
492464,0,0,1500,1500,0,0,0.0,0.0
